name,height,long,lat
Cairn Bannoch,1012.0,-3.2784429261116976,56.927733816800355
The Saddle,1011.4,-5.414725286708981,57.16236687325059
Beinn Udlamain,1011.0,-4.329897404557156,56.835476578108505
Beinn Ime,1011.0,-4.817175449726407,56.23680471766849
Sgurr Eilde Mor,1010.0,-4.895456434454849,56.75001356196356
Beinn Eighe - Ruadh-stac Mor,1010.0,-5.429451320329285,57.593708780454634
Sgurr an Doire Leathain,1010.0,-5.281527873988625,57.136842914736455
Beinn Dearg,1008.7,-3.8837134901083474,56.87735724516871
Carn Liath,1006.0,-4.515336823582899,56.9787981071832
An Sgarsoch,1006.0,-3.754365230052315,56.93193958957067
Beinn Fhionnlaidh,1005.0,-5.129913470689506,57.305981603953654
Maoile Lunndaidh,1004.9,-5.1110020480942,57.464464727713825
The Devil's Point,1004.0,-3.6887878245940326,57.03573753777397
Sgurr an Lochain,1004.0,-5.297524735747433,57.141222153280864
Beinn an Dothaidh,1004.0,-4.713952669266228,56.530103898121254
Sgurr Mor,1003.0,-5.3542150300595255,57.02840754947641
Sgurr na Carnach,1002.0,-5.349236042897851,57.18900161192982
Sail Chaorainn [Sail Chaoruinn],1002.0,-5.091100973490955,57.19179469364665
Meall Greigh,1001.0,-4.159545439582633,56.56743018415576
Beinn a'Bheithir - Sgorr Dhonuill,1001.0,-5.197767891579777,56.65047631779561
Aonach Meadhoin,1001.0,-5.2291206651449205,57.17307460167308
Sgurr Choinnich,999.2,-5.20791655823821,57.451010153016654
Stob Ban,999.0,-5.030359564797191,56.74368066975635
Sgurr Breac,999.0,-5.091729484636605,57.69203927515408
Stob Daimh [Stob Diamh],998.0,-5.091390790977905,56.43124977072869
Broad Cairn,998.0,-3.2490579048464223,56.919172487562975
Ben More Assynt,998.0,-4.858209069402203,58.13816320073157
A'Chailleach,997.0,-5.128736787368793,57.69376995013372
Glas Bheinn Mhor,997.0,-5.00526650132486,56.54240495010926
Spidean Mialach,996.0,-5.1936301967142455,57.08895155150198
An Caisteal,995.8,-4.624374369926465,56.338589435215006
Sgor na h-Ulaidh,994.0,-5.080091815889111,56.61979705073238
Carn an Fhidhleir [Carn Ealar],994.0,-3.801658072695621,56.93592963535384
Carn nan Gobhar,993.0,-5.024550478317665,57.36329386174416
Sgurr na Ruaidhe,993.0,-4.852458549679511,57.44148371336646
Beinn Eighe - Spidean Coire nan Clach,993.0,-5.403703914575113,57.58207369294135
Sgurr Alasdair,992.0,-6.224142890590758,57.206511196412436
Carn nan Gobhar,992.0,-4.87992922558095,57.45232541041717
Sgairneach Mhor,991.0,-4.297793532150201,56.82845193050943
